Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
29,Jose Urena,29,70,266,239,35,61,7,0,15,36,1,2,25,62,0.255,0.331,0.473,0.804,113,10,2,0,0,0,OAX,0.985605712
9,Robbie Glendinning,28,19,65,55,11,14,7,0,3,12,0,0,9,21,0.255,0.359,0.546,0.905,30,1,0,1,0,0,LEO,1.107484945
17,Isaac Rodriguez,33,69,241,200,33,51,7,2,3,23,14,5,36,33,0.255,0.377,0.355,0.732,71,3,3,2,0,0,TIJ,0.965961179
14,Javier Salazar*,27,50,138,122,18,31,7,3,3,20,1,3,11,19,0.254,0.311,0.434,0.746,53,1,0,3,2,0,MTY,0.977770943
12,Carlos Paulino,34,43,153,130,23,33,6,0,8,23,0,0,18,39,0.254,0.351,0.485,0.836,63,5,2,2,1,0,QRO,1.148678145
4,Oziel Flores#,26,60,125,114,17,29,2,1,1,11,2,2,7,29,0.254,0.295,0.316,0.611,36,3,0,3,1,0,CHI,1.104916111
20,Connor Panas*,31,55,225,182,32,46,8,1,6,20,6,4,31,31,0.253,0.387,0.407,0.793,74,0,10,0,2,0,VER,0.928407717
17,Jonathan Schoop,32,81,340,293,48,74,20,0,15,60,1,2,36,75,0.253,0.344,0.474,0.819,139,12,7,0,4,3,ULA,0.968507678
18,Alejandro Mejia,31,47,204,182,32,46,8,0,11,34,2,1,18,62,0.253,0.319,0.478,0.797,87,7,1,0,3,3,LEO,1.107484945
14,Luis Jiménez,36,21,82,75,7,19,3,0,2,10,2,3,4,16,0.253,0.317,0.373,0.69,28,3,3,0,0,0,CMP,0.989554266
11,Edwin Garcia,33,27,113,99,16,25,6,0,1,7,2,0,12,15,0.253,0.33,0.343,0.674,34,6,0,1,1,0,CMP,0.989554266
5,Willians Astudillo,32,29,113,103,8,26,6,0,0,10,0,1,5,5,0.252,0.304,0.311,0.614,32,2,3,1,1,0,SAL,0.996117193
13,Jesus Martinez*,29,71,281,246,40,62,11,3,2,18,7,2,25,51,0.252,0.327,0.346,0.673,85,8,3,6,1,1,CHI,1.104916111
